"date","year","month","day","service","pre_percentage","timepoint","traffic","day_number"
2020-03-01,2020,3,1,"Subway",97,"current",2212965,0
2020-03-01,2020,3,1,"Subway",97,"pre_est",2281407.21649485,1
2020-03-01,2020,3,1,"Bus",99,"current",984908,0
2020-03-01,2020,3,1,"Bus",99,"pre_est",994856.565656566,1
2020-03-01,2020,3,1,"LIRR",100,"current",86790,0
2020-03-01,2020,3,1,"LIRR",100,"pre_est",86790,1
2020-03-01,2020,3,1,"MetroNorth",59,"current",55825,0
2020-03-01,2020,3,1,"MetroNorth",59,"pre_est",94618.6440677966,1
2020-03-01,2020,3,1,"AccessARide",113,"current",19922,0
2020-03-01,2020,3,1,"AccessARide",113,"pre_est",17630.0884955752,1
2020-03-01,2020,3,1,"BridgesAndTunnels",98,"current",786960,0
2020-03-01,2020,3,1,"BridgesAndTunnels",98,"pre_est",803020.408163265,1
2020-03-01,2020,3,1,"SIRailway",52,"current",1636,0
2020-03-01,2020,3,1,"SIRailway",52,"pre_est",3146.15384615385,1
2020-03-02,2020,3,2,"Subway",96,"current",5329915,2
2020-03-02,2020,3,2,"Subway",96,"pre_est",5551994.79166667,3
2020-03-02,2020,3,2,"Bus",99,"current",2209066,2
2020-03-02,2020,3,2,"Bus",99,"pre_est",2231379.7979798,3
2020-03-02,2020,3,2,"LIRR",103,"current",321569,2
2020-03-02,2020,3,2,"LIRR",103,"pre_est",312202.912621359,3
2020-03-02,2020,3,2,"MetroNorth",66,"current",180701,2
2020-03-02,2020,3,2,"MetroNorth",66,"pre_est",273789.393939394,3
2020-03-02,2020,3,2,"AccessARide",102,"current",30338,2
2020-03-02,2020,3,2,"AccessARide",102,"pre_est",29743.137254902,3
2020-03-02,2020,3,2,"BridgesAndTunnels",95,"current",874619,2
2020-03-02,2020,3,2,"BridgesAndTunnels",95,"pre_est",920651.578947368,3
2020-03-02,2020,3,2,"SIRailway",107,"current",17140,2
2020-03-02,2020,3,2,"SIRailway",107,"pre_est",16018.691588785,3
2020-03-03,2020,3,3,"Subway",98,"current",5481103,4
2020-03-03,2020,3,3,"Subway",98,"pre_est",5592962.24489796,5
2020-03-03,2020,3,3,"Bus",99,"current",2228608,4
2020-03-03,2020,3,3,"Bus",99,"pre_est",2251119.19191919,5
2020-03-03,2020,3,3,"LIRR",102,"current",319727,4
2020-03-03,2020,3,3,"LIRR",102,"pre_est",313457.843137255,5
2020-03-03,2020,3,3,"MetroNorth",69,"current",190648,4
2020-03-03,2020,3,3,"MetroNorth",69,"pre_est",276301.449275362,5
2020-03-03,2020,3,3,"AccessARide",110,"current",32767,4
2020-03-03,2020,3,3,"AccessARide",110,"pre_est",29788.1818181818,5
2020-03-03,2020,3,3,"BridgesAndTunnels",96,"current",882175,4
2020-03-03,2020,3,3,"BridgesAndTunnels",96,"pre_est",918932.291666667,5
2020-03-03,2020,3,3,"SIRailway",109,"current",17453,4
2020-03-03,2020,3,3,"SIRailway",109,"pre_est",16011.9266055046,5
2020-03-04,2020,3,4,"Subway",99,"current",5498809,6
2020-03-04,2020,3,4,"Subway",99,"pre_est",5554352.52525253,7
2020-03-04,2020,3,4,"Bus",97,"current",2177165,6
2020-03-04,2020,3,4,"Bus",97,"pre_est",2244500,7
2020-03-04,2020,3,4,"LIRR",99,"current",311662,6
2020-03-04,2020,3,4,"LIRR",99,"pre_est",314810.101010101,7
2020-03-04,2020,3,4,"MetroNorth",70,"current",192689,6
2020-03-04,2020,3,4,"MetroNorth",70,"pre_est",275270,7
2020-03-04,2020,3,4,"AccessARide",115,"current",34297,6
2020-03-04,2020,3,4,"AccessARide",115,"pre_est",29823.4782608696,7
2020-03-04,2020,3,4,"BridgesAndTunnels",98,"current",905558,6
2020-03-04,2020,3,4,"BridgesAndTunnels",98,"pre_est",924038.775510204,7
2020-03-04,2020,3,4,"SIRailway",107,"current",17136,6
2020-03-04,2020,3,4,"SIRailway",107,"pre_est",16014.953271028,7
2020-03-05,2020,3,5,"Subway",99,"current",5496453,8
2020-03-05,2020,3,5,"Subway",99,"pre_est",5551972.72727273,9
2020-03-05,2020,3,5,"Bus",100,"current",2244515,8
